timestamp;channel1;channel2;channel3;channel4;channel5;channel6;period1;
20;110.0;110.0;110.0;-10.0;-10.0;-10.0;19723;
40;53.4;48.3;-4.8;49.8;52.3;-10.0;6997;
60;53.9;48.9;-4.4;49.7;51.3;-10.0;7005;
80;54.3;49.1;-4.7;50.5;51.4;-10.0;6999;
100;53.4;48.4;-4.8;49.7;51.3;-10.0;6999;
120;52.9;48.8;-4.0;49.8;51.4;-10.0;6998;
140;53.5;48.3;-4.8;50.5;52.2;-10.0;7092;
160;54.3;49.1;-4.9;50.5;51.4;-10.0;7003;
180;54.1;48.9;-4.8;50.5;52.4;-10.0;7000;
200;53.5;48.5;-3.8;49.6;51.3;-10.0;6995;
220;53.4;48.6;-4.7;49.7;51.4;-10.0;6999;
240;53.3;48.2;-5.0;50.6;52.2;-10.0;7000;
260;53.2;48.1;-4.8;50.5;52.2;-10.0;6998;
280;54.3;49.0;-4.2;50.0;51.7;-10.0;7004;
300;53.0;48.7;-4.3;50.3;52.1;-10.0;6995;
320;53.1;47.9;-4.5;50.2;51.9;-10.0;6994;
340;53.3;47.8;-4.5;50.1;51.8;-10.0;6998;
360;53.4;48.4;-3.7;50.0;51.7;-10.0;6996;
380;53.9;48.7;-4.8;50.0;51.7;-10.0;7000;
400;54.0;48.8;-4.5;50.3;51.9;-10.0;7006;
420;53.0;47.9;-4.5;50.2;51.1;-10.0;6999;
440;53.0;47.8;-4.5;50.2;51.1;-10.0;6993;
460;53.9;48.9;-4.6;49.3;52.7;-10.0;7002;
480;53.6;48.7;-4.6;50.0;51.7;-10.0;7008;
500;53.5;48.3;-3.8;50.3;51.9;-10.0;6998;
520;53.7;48.6;-4.6;50.3;51.9;-10.0;7000;
540;53.9;48.9;-4.6;50.3;51.9;-10.0;7005;
560;54.1;48.9;-4.6;50.2;51.9;-10.0;7002;
580;53.0;47.9;-4.6;50.2;52.1;-10.0;7004;
600;53.1;48.9;-4.6;49.5;51.3;-10.0;6996;
620;52.7;48.8;-4.5;50.2;51.8;-10.0;6993;
640;53.4;49.2;-4.7;50.1;51.7;-10.0;6996;
660;53.8;48.6;-4.8;50.1;51.7;-10.0;7000;
680;53.9;48.9;-4.6;50.0;51.7;-10.0;7004;
700;53.1;47.9;-5.4;50.0;52.6;-10.0;6999;
720;53.9;48.8;-4.6;50.0;52.1;-10.0;7004;
740;54.1;48.9;-4.6;50.2;51.9;-10.0;7003;
760;53.5;48.9;-4.6;49.9;51.9;-10.0;7005;
780;53.0;48.5;-4.8;50.0;51.9;-10.0;6996;
800;53.8;48.6;-4.9;50.0;51.7;-10.0;6999;
820;54.0;48.8;-4.5;50.3;51.9;-10.0;7001;
840;54.0;48.9;-4.6;50.2;51.9;-10.0;7000;
860;53.9;48.7;-4.5;50.5;52.1;-10.0;7004;
880;53.1;47.9;-5.4;50.4;52.0;-10.0;6996;
900;53.3;48.4;-4.5;50.2;51.9;-10.0;7004;
920;53.7;48.5;-5.0;50.0;51.7;-10.0;7007;
940;54.0;48.9;-4.6;49.3;52.0;-10.0;7003;
960;54.1;48.9;-4.6;50.3;51.9;-10.0;7001;
980;53.1;48.0;-4.5;49.3;51.9;-10.0;7002;
1000;53.1;47.9;-4.6;49.4;52.0;-10.0;6998;
1020;53.0;48.9;-4.6;50.0;51.6;-10.0;6992;
1040;53.5;48.5;-4.6;50.3;51.9;-10.0;7007;
1060;53.8;48.6;-4.9;50.2;51.9;-10.0;7001;
1080;53.1;48.0;-4.6;50.2;51.9;-10.0;7003;
1100;53.7;47.7;-4.1;50.0;52.6;-10.0;6997;
1120;53.5;48.5;-5.2;49.3;51.9;-10.0;6997;
1140;53.9;48.7;-4.6;49.5;52.4;-10.0;7003;
1160;54.0;48.9;-4.6;50.5;52.5;-10.0;6999;
1180;53.5;48.5;-4.5;49.3;52.3;-10.0;7009;
1200;53.5;48.3;-5.5;50.2;51.9;-10.0;6997;
1220;53.5;48.3;-5.0;50.0;51.7;-10.0;6996;
1240;54.1;48.9;-4.6;50.3;51.9;-10.0;7009;
1260;54.0;48.9;-4.5;50.2;51.9;-10.0;7001;
1280;53.1;48.9;-4.2;49.9;52.8;-10.0;6995;
1300;53.2;48.8;-4.6;50.0;51.6;-10.0;7001;
1320;53.1;48.2;-5.4;49.8;51.8;-10.0;7003;
1340;54.0;48.2;-5.1;50.4;52.4;-10.0;7003;
1360;54.1;48.1;-5.3;49.7;51.6;-10.0;7000;
1380;54.0;48.9;-4.6;50.3;51.9;-10.0;6999;
1400;52.8;49.0;-4.6;50.2;51.9;-10.0;6995;
1420;53.5;48.2;-4.4;50.5;52.4;-10.0;7004;
1440;54.0;48.9;-4.6;50.5;52.1;-10.0;7007;
1460;54.0;48.8;-4.5;50.4;52.0;-10.0;7000;
1640;53.8;48.2;-5.1;50.1;52.0;-10.0;7001;
1660;53.2;48.5;-4.1;50.2;51.9;-10.0;6994;
1680;54.0;48.2;-4.4;50.2;51.9;-10.0;6998;
1700;54.2;48.6;-4.3;50.4;52.2;-10.0;7006;
1720;54.0;48.8;-4.5;49.9;51.9;-10.0;6998;
1740;53.3;48.5;-4.6;50.2;52.1;-10.0;7006;
1760;54.2;48.5;-5.0;50.2;52.1;-10.0;7003;
1780;54.1;48.2;-5.3;50.2;52.1;-10.0;7003;
1800;53.6;48.8;-4.7;50.1;51.7;-10.0;6998;
1820;53.7;48.9;-4.3;50.3;51.9;-10.0;7008;
